date,kospi_close,kospi_dividend_yield_ratio,kospi_per,kospi_pbr,kospi_open,kospi_high,kospi_low,kospi_volume,kospi_value,kospi_stock_value,kospi_label
20190531,-0.778626511,0.996053796,-0.753041686,-0.603761821,-0.851163833,-0.81906132,-0.797512984,-0.432355844,-0.660401363,-0.835565563,1
20190603,-0.637047186,0.864996664,-0.47976319,-0.603761821,-0.840352254,-0.700039513,-0.764349259,-0.645202346,-0.779411398,-0.684924877,1
20190604,-0.641818913,0.864996664,-0.47976319,-0.603761821,-0.647095286,-0.691200716,-0.594197955,-0.445404125,-0.719311665,-0.691257822,2
20190605,-0.63021494,0.864996664,-0.47775379,-0.603761821,-0.553142667,-0.612694635,-0.568897242,-0.673789943,-0.819485748,-0.676472851,1
20190607,-0.612754755,0.832232381,-0.473734988,-0.603761821,-0.625472128,-0.641955993,-0.610298408,-0.721913148,-0.866918811,-0.658408809,1
20190610,-0.465481891,0.733939531,-0.441584577,-0.513197548,-0.535790083,-0.540447081,-0.516477161,-0.356851701,-0.906717897,-0.509020536,1
20190611,-0.398677706,0.701175248,-0.427518772,-0.422633275,-0.4886516,-0.45853724,-0.414364982,0.023957671,-0.888013309,-0.442543557,1
20190612,-0.415270304,0.701175248,-0.431537574,-0.422633275,-0.40448346,-0.434820718,-0.361891411,0.607931639,-0.773275256,-0.459289738,2
20190613,-0.445635843,0.733939531,-0.437565776,-0.513197548,-0.443405143,-0.494551218,-0.482190148,0.034809423,-0.3740475,-0.492655666,2
20190614,-0.487605355,0.766703815,-0.447612779,-0.513197548,-0.487408269,-0.521945998,-0.452503266,-0.292514269,-0.756733678,-0.534379233,2
20190617,-0.51298227,0.766703815,-0.451631581,-0.513197548,-0.512328957,-0.518816734,-0.453680043,0.068174573,-0.894279619,-0.563035927,2
20190618,-0.469711377,0.733939531,-0.443593978,-0.513197548,-0.525302852,-0.521945998,-0.442661128,0.229392422,-0.797582772,-0.515041115,1
20190619,-0.328348949,0.668410965,-0.411443567,-0.422633275,-0.36188584,-0.391724722,-0.291124302,1.301134851,-0.676686485,-0.371450503,1
20190620,-0.29304901,0.635646682,-0.405415364,-0.332069002,-0.349776872,-0.364110345,-0.276254115,1.890880332,-0.972178431,-0.331902362,1
20190621,-0.323794118,0.668410965,-0.411443567,-0.422633275,-0.292475505,-0.359114504,-0.277698342,0.601877891,-0.604505841,-0.363801255,2
20190624,-0.319944201,0.668410965,-0.411443567,-0.422633275,-0.303611431,-0.349232619,-0.257746617,0.510302684,-0.954224403,-0.358675727,1
20190625,-0.34537534,0.668410965,-0.415462368,-0.422633275,-0.328369946,-0.339570333,-0.304657241,0.401331132,-0.896063169,-0.384556744,2
20190626,-0.344236633,0.668410965,-0.415462368,-0.422633275,-0.358318019,-0.383434919,-0.301394358,0.785224643,-0.834521728,-0.380467491,1
20190627,-0.276619084,0.635646682,-0.401396563,-0.332069002,-0.355452951,-0.311955956,-0.288021889,0.409106926,-0.63550779,-0.313619164,1
20190628,-0.29668203,0.635646682,-0.405415364,-0.332069002,-0.27798799,-0.323100525,-0.257265209,-0.031119163,-0.886308576,-0.33132373,2
20190701,-0.301453757,0.635646682,-0.405415364,-0.422633275,-0.212145476,-0.279181039,-0.241753144,-0.542349988,-0.752620526,-0.334535175,2
20190702,-0.343314822,0.668410965,-0.415462368,-0.422633275,-0.348209193,-0.369106187,-0.31851112,-0.343807511,-0.938514293,-0.377863784,2
20190703,-0.484297681,0.766703815,-0.445603378,-0.513197548,-0.355344835,-0.386399484,-0.421211687,-0.090699495,-0.786717863,-0.520192922,2
20190704,-0.415378752,0.701175248,-0.429528173,-0.422633275,-0.454757301,-0.490214169,-0.444479784,-0.400651385,-0.808585611,-0.449726589,1
20190705,-0.405293055,0.701175248,-0.427518772,-0.422633275,-0.408051281,-0.453815895,-0.405646132,-0.349693553,-0.962914359,-0.443534329,1
20190708,-0.657001683,0.864996664,-0.481772591,-0.603761821,-0.5112478,-0.579480524,-0.579220788,-0.118346307,-0.866208556,-0.697148236,2
20190709,-0.722829833,0.897760947,-0.495838396,-0.694326095,-0.627796618,-0.674127016,-0.642071396,-0.428510896,-0.839305727,-0.759333668,2
20190710,-0.686228514,0.897760947,-0.487800793,-0.694326095,-0.675367564,-0.71310556,-0.6182684,-0.773918114,-0.988965121,-0.718466522,1
20190711,-0.568019809,0.799468098,-0.463687985,-0.603761821,-0.626499228,-0.603087248,-0.544826796,-0.688032612,-0.654912483,-0.596515465,1
20190712,-0.53505151,0.799468098,-0.455650382,-0.513197548,-0.556548314,-0.591064288,-0.506635023,-0.576529121,-1.037715097,-0.565290213,1
20190715,-0.557717216,0.799468098,-0.459669183,-0.513197548,-0.557305125,-0.602538254,-0.529368222,-0.332804415,-1.048190992,-0.587063996,2
20190716,-0.506800714,0.766703815,-0.44962218,-0.513197548,-0.55152093,-0.55680709,-0.49919993,0.564144226,-0.587222659,-0.539050583,1
20190717,-0.609555528,0.832232381,-0.471725588,-0.603761821,-0.576117272,-0.648269419,-0.580771995,0.886559474,-0.778499321,-0.643554453,2
20190718,-0.644096329,0.864996664,-0.47976319,-0.603761821,-0.636932402,-0.685655881,-0.592325809,-0.401833502,-0.988568942,-0.678904414,2
20190719,-0.493298894,0.766703815,-0.447612779,-0.513197548,-0.574495535,-0.556477693,-0.511128173,-0.613469254,-0.911378892,-0.523440874,1
20190722,-0.49882976,0.766703815,-0.447612779,-0.513197548,-0.519680831,-0.542148961,-0.452289306,-0.868192966,-1.207609755,-0.528906025,2
20190723,-0.454853953,0.733939531,-0.437565776,-0.513197548,-0.490435511,-0.503444914,-0.410192772,0.422294279,-0.791182412,-0.483368275,1
20190724,-0.558693251,0.799468098,-0.461678584,-0.603761821,-0.482867406,-0.507342769,-0.488929873,1.253739732,-0.900967186,-0.593144593,2
20190725,-0.601096557,0.832232381,-0.469716187,-0.603761821,-0.544979925,-0.599957984,-0.593663056,0.21986186,-0.610140415,-0.629921176,2
20190726,-0.64566883,0.864996664,-0.47976319,-0.603761821,-0.665637143,-0.713325157,-0.628110538,0.180757921,-0.630644376,-0.6750011,2
20190729,-0.845105351,0.996053796,-0.521960605,-0.784890368,-0.688449574,-0.740939534,-0.786601048,0.260916905,-0.767242712,-0.876707754,2
20190730,-0.795219109,0.963289513,-0.511913602,-0.694326095,-0.817161418,-0.842722943,-0.74594874,0.008782398,-1.007197101,-0.827326169,1
20190731,-0.87183787,0.996053796,-0.527988807,-0.784890368,-0.810998818,-0.861553422,-0.861807818,0.182034116,-0.51296678,-0.909692428,2
20190801,-0.910933501,1.028818079,-0.53602641,-0.784890368,-0.926520536,-0.910578548,-0.870473178,-0.340073003,-0.838317818,-0.952350621,2
20190802,-1.015098145,1.094346646,-0.558129818,-0.875454641,-1.033447049,-1.058367618,-0.989274199,-0.434990042,-0.571092486,-1.059119016,2
20190805,-1.292454808,1.290932344,-0.618411839,-1.056583187,-1.084153353,-1.155374783,-1.212487463,0.387444325,-0.194454078,-1.336839413,2
