집계날짜, 집계요일, 구독자수, 구독자수증감 영상조회수, 조회수증감, 순위변동(종합/구독/조회수)
2020-03-14, 토, 33,700,000 () 8,530,821,142 (+6,323,373) 2  / 6  / 4 
2020-03-13, 금, 33,700,000 (+100,000) 8,524,497,769 (+6,289,485) 2  / 6  / 4 
2020-03-12, 목, 33,600,000 () 8,518,208,284 (+5,866,384) 2  / 6  / 4 
2020-03-11, 수, 33,600,000 () 8,512,341,900 (+5,797,241) 2  / 6  / 4 
2020-03-10, 화, 33,600,000 () 8,506,544,659 (+5,554,067) 2  / 6 ▼ -1 / 4 
2020-03-09, 월, 33,600,000 () 8,500,990,592 (+5,991,132) 2  / 5  / 4 
2020-03-08, 일, 33,600,000 (+100,000) 8,494,999,460 (+7,269,617) 2  / 5  / 4 
2020-03-07, 토, 33,500,000 () 8,487,729,843 (+6,319,545) 2  / 5  / 4 
2020-03-06, 금, 33,500,000 () 8,481,410,298 (+5,967,678) 2  / 5  / 4 
2020-03-05, 목, 33,500,000 () 8,475,442,620 (+5,550,034) 2  / 5  / 4 
2020-03-04, 수, 33,500,000 () 8,469,892,586 (+5,223,953) 2  / 5  / 4 ▼ -1
2020-03-03, 화, 33,500,000 () 8,464,668,633 (+5,197,367) 2  / 5  / 3 
2020-03-02, 월, 33,500,000 (+100,000) 8,459,471,266 (+5,498,054) 2  / 5  / 3 ▲ +1
2020-03-01, 일, 33,400,000 () 8,453,973,212 (+6,622,555) 2  / 5  / 4 ▼ -1
2020-02-29, 토, 33,400,000 () 8,447,350,657 (+6,523,071) 2  / 5  / 3 
2020-02-28, 금, 33,400,000 () 8,440,827,586 (+5,615,916) 2 ▼ -1 / 5  / 3 
2020-02-27, 목, 33,400,000 () 8,435,211,670 (+5,547,513) 1  / 5  / 3 
2020-02-26, 수, 33,400,000 () 8,429,664,157 (+5,695,339) 1  / 5  / 3 
2020-02-25, 화, 33,400,000 (+100,000) 8,423,968,818 (+6,221,281) 1  / 5  / 3 
2020-02-24, 월, 33,300,000 () 8,417,747,537 (+6,436,801) 1  / 5  / 3 
2020-02-23, 일, 33,300,000 () 8,411,310,736 (+6,588,299) 1  / 5  / 3 
2020-02-22, 토, 33,300,000 () 8,404,722,437 (+6,499,133) 1  / 5  / 3 
2020-02-21, 금, 33,300,000 () 8,398,223,304 (+5,715,357) 1  / 5  / 3 
2020-02-20, 목, 33,300,000 (+100,000) 8,392,507,947 (+5,078,750) 1  / 5  / 3 
2020-02-19, 수, 33,200,000 () 8,387,429,197 (+5,113,455) 1  / 5  / 3 
2020-02-18, 화, 33,200,000 () 8,382,315,742 (+5,105,906) 1  / 5  / 3 
2020-02-17, 월, 33,200,000 () 8,377,209,836 (+5,512,100) 1  / 5  / 3 
2020-02-16, 일, 33,200,000 () 8,371,697,736 (+6,941,600) 1  / 5  / 3 
2020-02-15, 토, 33,200,000 () 8,364,756,136 (+6,513,927) 1  / 5  / 3 
2020-02-14, 금, 33,200,000 (+100,000) 8,358,242,209 (+6,168,681) 1  / 5  / 3 
2020-02-13, 목, 33,100,000 () 8,352,073,528 (+5,562,133) 1  / 5  / 3 
2020-02-12, 수, 33,100,000 () 8,346,511,395 (+5,472,615) 1  / 5  / 3 
2020-02-11, 화, 33,100,000 () 8,341,038,780 (+5,696,768) 1  / 5  / 3 
2020-02-10, 월, 33,100,000 () 8,335,342,012 (+5,564,771) 1  / 5  / 3 
2020-02-09, 일, 33,100,000 () 8,329,777,241 (+6,842,150) 1  / 5  / 3 
2020-02-08, 토, 33,100,000 (+100,000) 8,322,935,091 (+6,999,440) 1  / 5  / 3 
2020-02-07, 금, 33,000,000 () 8,315,935,651 (+6,041,747) 1  / 5  / 3 
2020-02-06, 목, 33,000,000 () 8,309,893,904 (+5,526,430) 1  / 5  / 3 
2020-02-05, 수, 33,000,000 () 8,304,367,474 (+5,916,179) 1  / 5  / 3 
2020-02-04, 화, 33,000,000 () 8,298,451,295 (+5,385,127) 1  / 5 ▼ -1 / 3 
2020-02-03, 월, 33,000,000 (+100,000) 8,293,066,168 (+5,601,153) 1  / 4  / 3 
2020-02-02, 일, 32,900,000 () 8,287,465,015 (+6,891,402) 1  / 4  / 3 
2020-02-01, 토, 32,900,000 () 8,280,573,613 (+6,739,051) 1  / 4  / 3 
2020-01-31, 금, 32,900,000 () 8,273,834,562 (+5,932,213) 1  / 4  / 3 
2020-01-30, 목, 32,900,000 () 8,267,902,349 (+3,450,390) 1  / 4  / 3 
2020-01-29, 수, 32,900,000 () 8,264,451,959 (+7,946,307) 1  / 4  / 3 
2020-01-28, 화, 32,900,000 (+100,000) 8,256,505,652 (+5,446,546) 1  / 4  / 3 
2020-01-27, 월, 32,800,000 () 8,251,059,106 (+5,755,205) 1  / 4  / 3 
2020-01-26, 일, 32,800,000 () 8,245,303,901 (+7,270,753) 1  / 4  / 3 
2020-01-25, 토, 32,800,000 () 8,238,033,148 (+7,325,002) 1  / 4  / 3 
2020-01-24, 금, 32,800,000 () 8,230,708,146 (+6,460,343) 1  / 4  / 3 
2020-01-23, 목, 32,800,000 (+100,000) 8,224,247,803 (+6,364,749) 1  / 4  / 3 
2020-01-22, 수, 32,700,000 () 8,217,883,054 (+6,400,289) 1  / 4  / 3 
2020-01-21, 화, 32,700,000 () 8,211,482,765 (+6,214,353) 1  / 4  / 3 
2020-01-20, 월, 32,700,000 () 8,205,268,412 (+6,062,099) 1  / 4  / 3 
2020-01-19, 일, 32,700,000 () 8,199,206,313 (+7,859,113) 1  / 4  / 3 
2020-01-18, 토, 32,700,000 (+100,000) 8,191,347,200 (+7,976,868)1  / 4  / 3 
2020-01-17, 금, 32,600,000 () 8,183,370,332 (+7,593,875) 1  / 4  / 3 
2020-01-16, 목, 32,600,000 () 8,175,776,457 (+7,366,602) 1  / 4  / 3 
2020-01-15, 수, 32,600,000 () 8,168,409,855 (+5,838,114) 1  / 4  / 3 
2020-01-14, 화, 32,600,000 () 8,162,571,741 (+7,145,574) 1  / 4  / 
2020-01-13, 월, 32,600,000 (+100,000) 8,155,426,167 (+3,926,998) 1  / 4  / 3 
2020-01-12, 일, 32,500,000 () 8,151,499,169 (+6,769,408) 1  / 4  / 3
2020-01-11, 토, 32,500,000 () 8,144,729,761 (+6,675,973) 1  / 4  / 3 
2020-01-10, 금, 32,500,000 () 8,138,053,788 (+5,834,237) 1  / 4  / 3 
