Date,High,Low,Open,Close,Volume,Adj Close,,,Date,High,Low,Open,Close
2018-06-13,172.7489929,170,172.1699982,170.8200073,1230700,170.8200073,,,2018-06-19,33400,31800,33200,32150
2018-06-14,180.0200043,169.4900055,169.5,178.1000061,4311600,178.1000061,,,2018-06-20,34200,31850,32150,34050
2018-06-15,176.9250031,172,175.8099976,175.0200043,1983200,175.0200043,,,2018-06-21,36950,34100,34200,36400
2018-06-18,175.9499969,171.2689972,173.4600067,174.3500061,937600,174.3500061,,,2018-06-22,36600,35450,36550,36250
2018-06-19,173.25,167.0599976,171.5299988,169.8899994,1627700,169.8899994,,,2018-06-25,38300,35600,37200,36250
2018-06-20,176.7700043,170.5,172.8800049,176.3999939,2365100,176.3999939,,,2018-06-26,38400,35750,36000,37200
2018-06-21,182.1799927,177.1950073,179,179.5299988,3782000,179.5299988,,,2018-06-27,38050,36550,38000,36750
2018-06-22,182.4499969,177.4019928,181.8000031,180.9400024,1472000,180.9400024,,,2018-06-28,37200,36000,36350,36500
2018-06-25,180,166,180,170.3699951,2878800,170.3699951,,,2018-06-29,37000,35300,36850,36250
2018-06-26,177,172.5399933,174.3699951,175.9799957,1658900,175.9799957,,,2018-07-02,37450,35550,36200,35950
2018-06-27,181.7200012,171.5800018,177.8200073,172.1499939,1779500,172.1499939,,,2018-07-03,38200,36200,36850,38100
2018-06-28,170.9400024,165.7100067,170.4799957,167.6999969,1645700,167.6999969,,,2018-07-04,38700,37350,38050,37800
2018-06-29,171.9400024,167.8399963,170.75,168.2400055,862300,168.2400055,,,2018-07-05,38000,36200,37800,36850
2018-07-02,170.7899933,162.0299988,165.8000031,170.6900024,1171200,170.6900024,,,2018-07-06,37500,36350,36650,37450
2018-07-03,171.2299957,168.2400055,171.0700073,168.6600037,508400,168.6600037,,,2018-07-09,39750,37450,37600,39750
2018-07-05,176.4400024,169.6000061,169.7100067,176.4400024,1299600,176.4400024,,,2018-07-10,39950,38600,39750,39100
2018-07-06,177.2949982,174.0299988,174.5200043,175.6999969,1092900,175.6999969,,,2018-07-11,39500,38500,38600,38750
2018-07-09,178.7100067,172.8099976,178.3500061,177.4400024,1388800,177.4400024,,,2018-07-12,40950,38250,38750,40450
2018-07-10,181.5,176.0099945,177.0899963,180.4299927,1541700,180.4299927,,,2018-07-13,42050,40250,40250,41350
2018-07-11,183.2400055,178.5,179.3000031,182.3500061,1998600,182.3500061,,,2018-07-16,42050,40550,41450,41750
2018-07-12,189.9700012,183.2400055,183.6499939,188.3500061,3505600,188.3500061,,,2018-07-17,41600,39100,41600,39100
2018-07-13,188.8600006,183.9499969,188.6000061,187.2100067,1313200,187.2100067,,,2018-07-18,40350,37400,39600,37850
2018-07-16,187.6199951,184.0299988,186.7799988,184.2200012,1141600,184.2200012,,,2018-07-19,38200,36100,38000,37100
2018-07-17,187.4799957,178.6100006,180.7200012,187.0500031,1813300,187.0500031,,,2018-07-20,37750,36200,37200,37150
2018-07-18,188.3890076,184.9499969,187.8000031,186.1499939,920500,186.1499939,,,2018-07-23,37200,34950,37150,35400
2018-07-19,186.8099976,182.0500031,185.1799927,182.1900024,877300,182.1900024,,,2018-07-24,36250,35150,35550,35400
2018-07-20,185.6499939,182.2700043,183.8300018,182.7899933,843700,182.7899933,,,2018-07-25,35550,33800,35500,35050
2018-07-23,190,183.5,184.9700012,188.0500031,1753900,188.0500031,,,2018-07-26,36750,34850,35500,36600
2018-07-24,190.8000031,186.0700073,188.0099945,187.8099976,2174000,187.8099976,,,2018-07-27,36850,35600,36450,35950
2018-07-25,188.0899963,184.5,185.5500031,187.9900055,2024700,187.9900055,,,2018-07-30,36150,33900,36100,34000
2018-07-26,198.9900055,187.0500031,191.8600006,196.2799988,5029000,196.2799988,,,2018-07-31,34000,32600,33850,33300
2018-07-27,196.5599976,182.4900055,195.7299957,186.2700043,4124900,186.2700043,,,2018-08-01,35100,33300,33350,34950
2018-07-30,189.3399963,175.3099976,187.6999969,176.7899933,2978500,176.7899933,,,2018-08-02,35200,33650,34700,34350
2018-07-31,183.8699951,175.3999939,177.2700043,182.8300018,2233200,182.8300018,,,2018-08-03,35050,34100,34500,34500
2018-08-01,185.4900055,179.8200073,183.5299988,180.1199951,1140500,180.1199951,,,2018-08-06,34800,33550,34550,33650
2018-08-02,181.1999969,177.8999939,179.6300049,179.7100067,1391600,179.7100067,,,2018-08-07,35150,33150,33900,35000
2018-08-03,180.1199951,174.6499939,179.9499969,175.5,1337600,175.5,,,2018-08-08,35850,34750,34800,35000
2018-08-06,181.1300049,175.5,175.5,179.9499969,1031700,179.9499969,,,2018-08-09,35550,34050,35050,34850
2018-08-07,184.4900055,179,180.2799988,179.5200043,894400,179.5200043,,,2018-08-10,35250,34200,34850,35000
2018-08-08,179.8099976,177.3399963,178.75,178.6999969,584400,178.6999969,,,2018-08-13,35500,34050,35350,34100
2018-08-09,190,177.5839996,179.0700073,187.3800049,2594700,187.3800049,,,2018-08-14,35750,34200,34450,35450
2018-08-10,189.5,185.3899994,185.5200043,189.0599976,1558700,189.0599976,,,2018-08-16,38050,34350,35100,37950
2018-08-13,196,188.5099945,189,191.5500031,3156000,191.5500031,,,2018-08-17,38700,36950,38200,37050
2018-08-14,194.8899994,189.4400024,193,193.75,1271900,193.75,,,2018-08-20,38000,35650,37000,36050
2018-08-15,195.8699951,187.1199951,195.2700043,190.3300018,1752400,190.3300018,,,2018-08-21,38750,36100,36100,38300
2018-08-16,194.1799927,190.6119995,192.5,192.3600006,546700,192.3600006,,,2018-08-22,39500,37500,38150,38900
2018-08-17,191.0209961,186.6000061,187.9299927,188.3699951,1489600,188.3699951,,,2018-08-23,39900,37200,38650,38200
2018-08-20,189.5399933,184.3399963,188.5500031,186.3999939,1050500,186.3999939,,,2018-08-24,40500,37550,37650,40050
2018-08-21,190.5800018,186.5,187.8699951,190.3800049,990000,190.3800049,,,2018-08-27,42000,39800,40000,41800
2018-08-22,192,188.2100067,190.9499969,191.0299988,1025500,191.0299988,,,2018-08-28,42650,39300,42000,39600
2018-08-23,194.3999939,189.5709991,191.6699982,190,980200,190,,,2018-08-29,41150,39550,39800,40850
2018-08-24,193.9199982,190.75,191,192.3800049,1454900,192.3800049,,,2018-08-30,42000,40800,40850,41950
2018-08-27,196.9499969,193.5399933,194,194.6900024,1773100,194.6900024,,,2018-08-31,43000,41050,41400,42900
2018-08-28,195.0700073,190,195.0700073,191.9600067,1014800,191.9600067,,,2018-09-03,43200,41350,42950,42600
2018-08-29,193.9499969,189.2400055,193.4700012,191.2599945,1290200,191.2599945,,,2018-09-04,43950,42250,42750,43250
2018-08-30,192.4440002,189.3200073,191.4499969,189.8500061,803700,189.8500061,,,2018-09-05,43550,42600,43050,43000
2018-08-31,191.1089935,188.3049927,190.1199951,189.5200043,710900,189.5200043,,,2018-09-06,43350,41900,43000,42550
2018-09-04,190.3099976,185.6000061,190,187.5299988,1430300,187.5299988,,,2018-09-07,43600,42700,42850,42950
2018-09-05,186.5700073,177.1000061,186.5700073,177.3600006,2312600,177.3600006,,,2018-09-10,43400,41300,42800,41550
2018-09-06,178.0399933,171.4700012,178,175.5599976,1698600,175.5599976,,,2018-09-11,42750,41250,41250,42000
2018-09-07,179.6900024,171.5350037,172.9900055,177.8000031,1185600,177.8000031,,,2018-09-12,44400,42200,42500,42600
2018-09-10,183.1900024,174.2299957,179.5299988,182.4900055,1175200,182.4900055,,,2018-09-13,43300,41900,42600,43300
2018-09-11,184.3099976,177.8300018,180.0099945,182.6699982,1413800,182.6699982,,,2018-09-14,43750,42500,43200,43600
2018-09-12,184.1399994,178.1600037,181.9199982,183.7899933,1092600,183.7899933,,,2018-09-17,43650,42100,43600,43250
2018-09-13,187.3500061,184.0099945,185,184.8899994,1021400,184.8899994,,,2018-09-18,43150,42200,42900,42700
2018-09-14,185.5299988,180.1100006,185,180.6300049,1126600,180.6300049,,,2018-09-19,44100,42450,43000,43400
2018-09-17,181.9900055,174.4100037,179.4100037,175.1000061,1318700,175.1000061,,,2018-09-20,43650,42500,43150,43600
2018-09-18,179.4299927,175.3399963,175.6199951,175.5200043,1156700,175.5200043,,,2018-09-21,44450,43300,43300,44000
2018-09-19,176.4799957,168.9600067,175.3300018,171.1399994,2615200,171.1399994,,,2018-09-27,44300,43450,44200,44200
2018-09-20,174.5200043,168,171.5399933,172.6399994,1283200,172.6399994,,,2018-09-28,44350,43650,44200,44200
2018-09-21,176.4799957,173.1519928,175.4100037,175.0200043,1425000,175.0200043,,,2018-10-01,46700,44500,44500,46700
2018-09-24,178.5899963,172.0099945,172.9700012,176.9700012,1151500,176.9700012,,,2018-10-02,47450,43950,47000,44650
2018-09-25,183.0899963,178.1499939,178.8300018,179.9100037,1178500,179.9100037,,,2018-10-04,44750,42550,44750,44650
2018-09-26,184.2599945,181.6600037,181.7599945,182.0500031,836900,182.0500031,,,2018-10-05,45000,42700,44650,43200
2018-09-27,185.9199982,182.5099945,182.8399963,184.4100037,964800,184.4100037,,,2018-10-08,43950,40250,43000,41200
2018-09-28,183.4400024,180.2200012,183.0599976,180.8300018,1163700,180.8300018,,,2018-10-10,42200,39600,41350,42150
2018-10-01,184.9499969,179.3099976,182.6199951,180.3999939,1023000,180.3999939,,,2018-10-11,41900,39000,41400,39650
2018-10-02,181,178.0700073,179.3899994,178.8800049,831000,178.8800049,,,2018-10-12,41450,39350,39400,40800
