집계날짜,집계요일,구독자수,구독자수증감,영상조회수,조회수증감,,조회수증감,집계날짜,그래프를위한
2020-05-10,일,"35,200,000","100,000","8,983,693,276","8,603,289",,"8,085,631",2020-05-11,900.8969282
2020-05-11,월,"35,200,000",0,"8,991,778,907","8,085,631",,"8,187,093",2020-05-12,911.3281975
2020-05-12,화,"35,200,000",0,"8,999,966,000","8,187,093",,"8,513,061",2020-05-13,946.7604896
2020-05-13,수,"35,300,000","100,000","9,008,479,061","8,513,061",,"8,471,842",2020-05-14,941.3193339
2020-05-14,목,"35,300,000",0,"9,016,950,903","8,471,842",,"8,337,317",2020-05-15,925.4966286
2020-05-15,금,"35,300,000",0,"9,025,288,220","8,337,317",,"8,541,198",2020-05-16,947.2379402
2020-05-16,토,"35,300,000",0,"9,033,829,418","8,541,198",,"8,379,609",2020-05-17,928.4588808
2020-05-17,일,"35,400,000","100,000","9,042,209,027","8,379,609",,"8,328,085",2020-05-18,921.8776019
2020-05-18,월,"35,400,000",0,"9,050,537,112","8,328,085",,"7,902,082",2020-05-19,873.910565
2020-05-19,화,"35,400,000",0,"9,058,439,194","7,902,082",,"8,587,481",2020-05-20,948.8366153
2020-05-20,수,"35,500,000","100,000","9,067,026,675","8,587,481",,"8,131,754",2020-05-21,897.6992422
2020-05-21,목,"35,500,000",0,"9,075,158,429","8,131,754",,"8,345,445",2020-05-22,920.4169458
2020-05-22,금,"35,500,000",0,"9,083,503,874","8,345,445",,"8,441,426",2020-05-23,930.1684446
2020-05-23,토,"35,600,000","100,000","9,091,945,300","8,441,426",,"8,622,569",2020-05-24,949.255829
2020-05-24,일,"35,600,000",0,"9,100,567,869","8,622,569",,"7,648,515",2020-05-25,841.2407629
2020-05-25,월,"35,600,000",0,"9,108,216,384","7,648,515",,"8,347,263",2020-05-26,917.2244106
2020-05-26,화,"35,600,000",0,"9,116,563,647","8,347,263",,"8,093,668",2020-05-27,888.611739
2020-05-27,수,"35,700,000","100,000","9,124,657,315","8,093,668",,"8,119,389",2020-05-28,890.6194608
2020-05-28,목,"35,700,000",0,"9,132,776,704","8,119,389",,"8,136,396",2020-05-29,891.6933227
2020-05-29,금,"35,800,000","100,000","9,140,913,100","8,136,396",,"10,650,375",2020-05-30,1166.170525
2020-05-30,토,"35,800,000",0,"9,151,563,475","10,650,375",,"8,592,157",2020-05-31,939.9670368
2020-05-31,일,"35,900,000","100,000","9,160,155,632","8,592,157",,"8,468,135",2020-06-01,925.3211239
2020-06-01,월,"35,900,000",0,"9,168,623,767","8,468,135",,"8,834,658",2020-06-02,964.4659278
2020-06-02,화,"35,900,000",0,"9,177,458,425","8,834,658",,"8,666,941",2020-06-03,945.2826531
2020-06-03,수,"36,000,000","100,000","9,186,125,366","8,666,941)2",,"8,289,046",2020-06-04,903.1962463
2020-06-04,목,"36,000,000",0,"9,194,414,412","8,289,046",,"8,972,978",2020-06-05,976.796815
2020-06-05,금,"36,000,000",0,"9,203,387,390","8,972,978",,"8,956,563",2020-06-06,974.1308798
2020-06-06,토,"36,100,000","100,000","9,212,343,953","8,956,563",,"8,613,517",2020-06-07,935.9072519
2020-06-07,일,"36,100,000",0,"9,220,957,470","8,613,517",,"7,532,901",2020-06-08,817.6964558
